HorsePower	Torque	Seats
200.0	290.0	5.0
235.0	420.0	5.0
400.0	1800.0	2.0
99.0	250.0	5.0
325.0	500.0	5.0
500.0	450.0	2.0
550.0	700.0	5.0
174.0	250.0	4.0
429.0	700.0	5.0
715.0	900.0	2.0
244.0	350.0	5.0
138.0	180.0	7.0
114.0	130.0	5.0
146.0	179.0	5.0
265.0	380.0	4.0
150.0	380.0	5.0
130.0	240.0	5.0
261.0	350.0	5.0
74.0	114.0	5.0
591.0	850.0	5.0
503.0	650.0	4.0
291.0	400.0	5.0
450.0	570.0	4.0
500.0	2500.0	2.0
275.0	400.0	4.0
54.0	80.0	4.0
278.0	250.0	5.0
129.0	245.0	5.0
90.0	250.0	5.0
140.0	280.0	7.0
77.5	120.0	5.0
98.5	95.0	4.0
204.0	310.0	3.0
110.0	145.0	4.0
769.0	720.0	2.0
550.0	680.0	2.0
77.5	120.0	5.0
460.0	630.0	2.0
379.0	450.0	4.0
145.0	206.0	7.0
355.0	519.0	6.0
136.0	260.0	5.0
120.0	150.0	2.0
375.0	637.0	5.0
310.0	583.0	5.0
580.0	630.0	4.0
503.0	685.0	2.0
152.0	335.0	5.0
272.0	400.0	5.0
285.0	360.0	8.0
300.0	320.0	5.0
630.0	900.0	4.0
245.0	360.0	7.0
175.0	264.0	5.0
355.0	519.0	8.0
132.5	250.0	4.0
603.0	850.0	5.0
402.0	520.0	5.0
207.0	320.0	7.0
362.0	500.0	5.0
228.0	350.0	5.0
502.0	469.0	2.0
350.0	460.0	7.0
495.0	637.0	2.0
180.0	300.0	5.0
290.0	355.0	8.0
115.0	200.0	4.0
710.0	770.0	2.0
115.0	155.0	5.0
670.0	967.0	7.0
444.0	550.0	4.0
572.0	750.0	4.0
291.0	355.0	7.0
105.0	141.0	7.0
215.0	250.0	5.0
473.0	570.0	4.0
640.0	800.0	4.0
136.0	290.0	5.0
142.5	210.0	5.0
187.0	450.0	7.0
591.0	800.0	5.0
473.0	570.0	2.0
320.0	350.0	5.0
515.0	480.0	1.0
510.0	470.0	1.0
710.0	770.0	2.0
121.0	142.0	5.0
420.0	624.0	5.0
429.0	700.0	5.0
181.0	430.0	5.0
200.0	320.0	5.0
310.0	366.0	7.0
204.0	500.0	5.0
63.0	85.0	4.0
218.0	330.0	5.0
400.0	696.0	5.0
100.0	205.0	5.0
105.0	135.0	5.0
300.0	370.0	5.0
400.0	563.0	7.0
420.0	624.0	8.0
360.0	520.0	5.0
315.0	400.0	5.0
85.0	115.0	5.0
271.0	324.0	5.0
384.0	559.0	5.0
201.0	310.0	5.0
290.0	362.0	5.0
550.0	900.0	4.0
224.0	400.0	5.0
308.0	366.0	5.0
455.0	617.0	4.0
375.0	637.0	5.0
135.0	170.0	5.0
208.0	300.0	5.0
228.0	350.0	7.0
52.0	60.0	4.0
130.0	240.0	7.0
276.0	314.0	4.0
355.0	519.0	7.0
379.0	450.0	4.0
200.0	360.0	5.0
175.0	275.0	5.0
340.0	480.0	5.0
420.0	624.0	7.0
201.0	180.0	5.0
305.0	650.0	7.0
473.0	570.0	4.0
250.0	365.0	5.0
236.0	400.0	5.0
362.0	500.0	5.0
190.0	400.0	5.0
204.0	310.0	5.0
170.0	275.0	5.0
110.0	150.0	2.0
181.0	245.0	7.0
291.0	355.0	7.0
100.0	205.0	5.0
220.0	350.0	4.0
248.0	400.0	5.0
170.0	275.0	5.0
47.0	106.0	2.0
308.0	373.0	5.0
64.0	95.0	4.0
300.0	400.0	7.0
963.0	800.0	2.0
255.5	350.0	7.0
160.0	215.0	5.0
136.0	260.0	5.0
210.0	420.0	5.0
130.0	230.0	5.0
177.0	285.0	5.0
469.0	500.0	5.0
187.0	250.0	5.0
349.0	500.0	5.0
434.0	550.0	5.0
75.0	200.0	5.0
100.0	140.0	3.0
189.0	441.0	5.0
429.0	620.0	5.0
108.0	142.0	5.0
187.0	250.0	5.0
167.0	350.0	5.0
202.5	350.0	4.0
78.0	100.0	5.0
563.0	870.0	4.0
236.5	310.0	5.0
248.0	500.0	4.0
255.0	350.0	5.0
237.0	350.0	5.0
150.0	250.0	4.0
136.0	220.0	5.0
502.0	470.0	2.0
420.0	624.0	6.0
139.0	265.0	5.0
402.0	664.0	5.0
237.0	350.0	5.0
136.0	250.0	5.0
1000.0	1000.0	2.0
355.0	519.0	7.0
180.0	300.0	5.0
473.0	620.0	4.0
112.5	140.0	5.0
247.0	400.0	7.0
357.0	529.0	5.0
255.0	400.0	4.0
187.0	250.0	5.0
656.0	685.0	2.0
1500.0	1600.0	2.0
472.0	603.0	5.0
563.0	850.0	5.0
1500.0	1600.0	2.0
355.0	519.0	8.0
71.0	93.0	4.0
261.0	400.0	5.0
120.0	320.0	3.0
204.0	500.0	7.0
155.0	400.0	7.0
180.0	230.0	5.0
290.0	355.0	8.0
248.0	400.0	5.0
95.0	130.0	2.0
250.0	420.0	7.0
300.0	520.0	5.0
227.0	350.0	5.0
740.0	690.0	2.0
401.0	629.0	3.0
563.0	900.0	5.0
420.0	624.0	8.0
759.0	720.0	2.0
728.0	950.0	4.0
147.0	179.0	5.0
148.0	197.0	5.0
248.0	300.0	5.0
284.0	351.0	7.0
355.0	519.0	6.0
181.0	430.0	7.0
155.0	236.0	5.0
401.0	629.0	5.0
460.0	2200.0	2.0
181.0	205.0	2.0
184.0	380.0	5.0
759.0	720.0	2.0
402.0	344.0	4.0
98.0	127.0	5.0
186.0	252.0	5.0
400.0	583.0	4.0
160.0	320.0	5.0
355.0	519.0	6.0
400.0	696.0	5.0
1500.0	1600.0	2.0
300.0	380.0	2.0
160.0	250.0	5.0
70.0	140.0	5.0
332.0	366.0	2.0
181.0	245.0	7.0
240.0	270.0	5.0
355.0	519.0	7.0
379.0	450.0	4.0
285.5	450.0	5.0
416.0	500.0	5.0
624.0	870.0	4.0
340.0	500.0	7.0
82.0	95.0	4.0
245.0	350.0	5.0
280.0	350.0	5.0
95.0	175.0	5.0
420.0	624.0	7.0
185.0	280.0	7.0
710.0	770.0	2.0
187.0	350.0	5.0
245.0	400.0	5.0
181.0	245.0	7.0
420.0	624.0	5.0
83.0	113.0	5.0
175.0	275.0	5.0
550.0	680.0	2.0
200.0	265.0	7.0
370.0	550.0	5.0
181.0	430.0	5.0
285.0	413.0	3.0
187.0	350.0	5.0
146.0	179.0	5.0
300.0	400.0	2.0
310.0	583.0	5.0
110.0	140.0	5.0
310.0	360.0	7.0
493.0	450.0	2.0
163.0	400.0	5.0
147.0	400.0	5.0
300.0	422.0	5.0
158.0	202.0	5.0
290.0	355.0	8.0
379.0	450.0	4.0
603.0	750.0	5.0
